locality,ward
Ilyas Nagar,Yelachenahalli
Kanaka Nagar,Yelachenahalli
Geeta Colony,Yelachenahalli
Yalchenhalli,Yelachenahalli
Krishnadevaraya Nagar,Yelachenahalli
Kashi Nagar,Yelachenahalli
Anuradha Industrial Estate,Yelachenahalli
Pratiba Industrial Estate,Yelachenahalli
JC Industrial Layout,Yelachenahalli
Bikasipura,Yelachenahalli
Nanjappa Layout,Yelachenahalli
Chandra Nagar,Yelachenahalli
Chikk Beguru,Singasandra
AECS Layout,Singasandra
SRK Layout Green Garden Layout,Singasandra
Singasandra,Singasandra
Royal Homes Layout,Singasandra
HAL Layout,Singasandra
Vedanthachar Layout,Singasandra
Channakeshava Nagar,Singasandra
Electronic City,Singasandra
Vinayaka Nagar,Singasandra
GK Layout,Singasandra
Royal Country Layout,Singasandra
Sampangi Layout,Singasandra
Purappana Agrahar,Singasandra
Central Silk Board Employees Layout,Singasandra
Kudlu Veerappa Reddy Layout,Singasandra
Sai Shree Layout,Singasandra
Doctors Layout,Singasandra
Naganathapur,Singasandra
Bhuvaneshwar Layout,Singasandra
Infotech Layout,Singasandra
SMV layout,Singasandra
Kuppendra Reddy Nagar,Singasandra
Lake View Meenakshi layout,Singasandra
Sushrshurthi Nagar,Begur
Basavapura,Begur
Marthi Layout,Begur
Dreams Paradise Layout,Begur
Sudhrashan Nagar,Begur
RR Layout,Begur
Pragathi Nagar,Begur
Chikkathoguru,Begur
Vishwapriya Nagar,Begur
Nobo Nagar,Begur
K Agrahara,Begur
Ramanashree Nagar,Begur
ITM Institute of Hotel Management,Begur
Suprithi Vinayaka Nagar,Begur
Ganapathi Nagar,Begur
Indra Prastha Colony,Begur
Dodda Kammanahalli,Begur
Kamakshi Layout,Begur
Lakshmi Layout,Begur
Varalakshmi Layout,Begur
Baraten Agrahar,Begur
Dodda Thoguru (P),Begur
Chikka Kammmanahalli,Begur
Smiriti Layout,Begur
Incity Layout,Begur
Thejashiwini Nagar 2nd Phase,Begur
Lotus Layout,Begur
Canara Bank Layout 2nd Stage,Begur
Malisandra,Begur
Value City,Begur
Akshaya Nagar,Begur
DFL Project New Town,Begur
Hugi Bande Garden,Begur
Classic Layout,Begur
Gyanappahalli,Begur
Begur,Begur
Duo Heights Layout,Begur
Chamundi Nagar,Begur
Devarachiknahalli,Begur
Royal Memorial Layout,Begur
Amaloodava Nagar,Begur
Mohan Layout,Begur
AECS Layout,Begur
HAL Layout,Begur
MICO Layout,Begur
Subhash Nagar,Begur
Residential Layout,Begur
Devendra Nagar,Begur
Viveknanda Nagar,Begur
JP Nagar 8th Phase,Gottigere
Brookes Heaven Layout,Gottigere
Lakshman Layout,Gottigere
Royal Country Layout,Gottigere
JP Nagar 8th Phase 2nd Block,Gottigere
Surbhi Nagar,Gottigere
SATG�s Layout,Gottigere
Nayak Layout,Gottigere
Pavamana Nagar,Gottigere
Rajadhadri Layout,Gottigere
Kotanur Dinne,Gottigere
Venkateshwara Layout,Gottigere
Bhagya Nagar,Gottigere
IDBI Layout,Gottigere
Meenakshi Layout,Gottigere
Raghavendra Swamy Layout,Gottigere
Bora Layout,Gottigere
Gundappa Layout,Gottigere
Vidya Sagar Layout,Gottigere
Royal Heritage Layout,Gottigere
Weavers Colony,Gottigere
Gottigere,Gottigere
Pillaganahalli,Gottigere
Soudhamini Layout,Anjanapur
Muneshwar Nagar,Anjanapur
Avalahalli Colony,Anjanapur
Vishaweshavaraiah Industrial Layout,Anjanapur
Bank Officers Layout,Anjanapur
BDA Layout,Anjanapur
RB Raj Nagar,Anjanapur
JP Nagar 9th Phase,Anjanapur
Anjnapura,Anjanapur
Anjnapura 2nd & 3rd Block,Anjanapur
Anjnapura 7th 8th 10th&11th Block,Anjanapur
Anjnapura Township 8th Block,Anjanapur
Anjanpura - 4th - 5th - 5th G 6th Block,Anjanapur
Jethendra Nagar,Anjanapur
Kidwai Layout,Anjanapur
Classic Layout,Anjanapur
BDA Layout,Anjanapur
Lakshmi Dorai Layout,Anjanapur
Meenakshi Residency Layout,Anjanapur
Galaxy Layout,Anjanapur
South Avenue Residency Layout,Anjanapur
Aditya Nagar,Anjanapur
Hanumagiri Hill,Uttarahalli
Sriramachandrapur,Uttarahalli
Naidu Layout,Uttarahalli
Srisri Nagar,Uttarahalli
Anjaneyaswamy Layout,Uttarahalli
AGS Layout,Uttarahalli
Gaviyappa Thimmayya Layout,Uttarahalli
Best Club and Apartment,Uttarahalli
Purnapragna Layout,Uttarahalli
Hemavathi Layout,Uttarahalli
Kodipura,Uttarahalli
Vinayaka Layout,Uttarahalli
Uttarhalli,Uttarahalli
Srinivas Colony,Uttarahalli
Arehalli,Uttarahalli
Shridini Layout,Uttarahalli
Vaddarpalya,Uttarahalli
Simhadri Layout,Uttarahalli
Patel Munivenkatappa Layout,Uttarahalli
Vallab Nagar,Uttarahalli
Friends Colony,Uttarahalli
Subramanyapura,Uttarahalli
Saptagiri Layout,Uttarahalli
Dorai Kere,Uttarahalli
Rajanna Industries Layout,Uttarahalli
T Laxmayya Layout,Uttarahalli
Paramahansa Layout,Uttarahalli
Yadalam Nagar,Uttarahalli
Adi Narayan Colony,Uttarahalli
Bhuvaneshwari Nagar,Uttarahalli
Vasanthpura,Uttarahalli
Vinayaka Nagar Layout,Uttarahalli
Gubbalallu Layout,Uttarahalli
Huchappanpalya,Uttarahalli
Maruthi Nagar,Uttarahalli
Vasanth Vallaba Nagar 2nd Block,Uttarahalli
Raja Rajeshwari Layout,Uttarahalli
Jayanagar HBCS Layout,Uttarahalli
Turahalli,Uttarahalli
BSK 6th Stage 1st and 2nd blocks,Uttarahalli
Veeranjanaya Nagar,Uttarahalli
Golden Greens Layout,Uttarahalli
Bharat Housing Co-Operative Society Layout (P),Uttarahalli
Mogekere,Uttarahalli
Gubbalala,Uttarahalli
Happy Valley (P),Uttarahalli
Raja Gardenia (P),Uttarahalli
Omshakthi Layout,Konanakunte
Puttenahalli,Konanakunte
Raghavendra Nagar,Konanakunte
Eshwara Layout,Konanakunte
RBI Colony,Konanakunte
Nataraj Layout,Konanakunte
Santhrupti Layout,Konanakunte
Muniswamy Layout,Konanakunte
Sun City Layout,Konanakunte
South City Layout,Konanakunte
Raghavendra Layout,Konanakunte
Sai Enclave,Konanakunte
Aradhana Layout,Konanakunte
MS Ramaiah City,Konanakunte
Kottanur Village,Konanakunte
Krishna Nagar,Konanakunte
Maruthi Nagar,Konanakunte
Shreyas Colony,Konanakunte
Navodhaya Nagar,Konanakunte
Poornima Nagar,Konanakunte
Nrupathunga Layout,Konanakunte
Sankranti Layout,Konanakunte
Gourava Nagar,Konanakunte
JP Nagar 7th Phase,Konanakunte
Annaporneshwari Nagar,Konanakunte
Srinidhi Layout,Konanakunte
Mysore Bank Colony,Konanakunte
New Bank Colony,Konanakunte
Chunchugatta,Konanakunte
Patel Narayanswamy Layout,Konanakunte
Mahendra Singh Layout,Konanakunte
Konankunte,Konanakunte
Existing RR Nagar CMC ward No. 29 containing following localities:,Vasanthapura
Sarvabhouma Nagar,Vasanthapura
KSRTC Layout,Vasanthapura
Gaundanapalya (P),Vasanthapura
Canara Bank Colony,Vasanthapura
Chikallasandra (P),Vasanthapura
Part II: Maruthi Housing Society Layout,Vasanthapura
Devarakere Extension,Vasanthapura
Vittal Nagar,Vasanthapura
Vasanthpura,Vasanthapura
Prashanthi Nagar,Vasanthapura
