locality,ward
Ashoknagar,NOT FOUND
Austin Town,NOT FOUND
Avenue Road,NOT FOUND
Balepet,NOT FOUND
Balepete,Chikpete
Benson Town,NOT FOUND
Bestamaranahalli,NOT FOUND
Bharati Nagar,NOT FOUND
Brigade Road,NOT FOUND
Brunton Road,NOT FOUND
Central Street,NOT FOUND
Chakravarthy Lane,NOT FOUND
Chickpet,NOT FOUND
Chikpet,NOT FOUND
Chord Road,NOT FOUND
Church Street,NOT FOUND
Commercial Street,Sampangiram Nagar
Cooke Town,NOT FOUND
Cox town,NOT FOUND
Coxtown,NOT FOUND
Crescent Road,NOT FOUND
Cubban Road,NOT FOUND
Cubbon Road,NOT FOUND
Cubbonpet,NOT FOUND
Cunningham,NOT FOUND
Cunningham Road,NOT FOUND
Dickenson Road,NOT FOUND
Dr. ambedkar veedhi,NOT FOUND
Ebrahim Sahib Street,NOT FOUND
Edward Road,NOT FOUND
Gayathrinagar,NOT FOUND
Gayatri Nagar,NOT FOUND
Haines Road,NOT FOUND
Harogadde,NOT FOUND
Hennagara,NOT FOUND
High Grounds,NOT FOUND
Hulimangala,NOT FOUND
Indalavadi,NOT FOUND
Infantry Road,NOT FOUND
Iyengar Road,NOT FOUND
J.C. Road,NOT FOUND
Jayachamaraja Road,NOT FOUND
Jumma Masjid Road,NOT FOUND
K. Kamraj Road,NOT FOUND
K.P.west,NOT FOUND
Kamaraj Road,NOT FOUND
Kasturba Road,NOT FOUND
Kilari Road,NOT FOUND
Kumara Krupa Road,NOT FOUND
KUMARAPARK,NOT FOUND
Lady Curzon Road,NOT FOUND
Lalbagh West,NOT FOUND
Langford Town,Shanthi Nagar
Lavelle Road,NOT FOUND
Madhava Nagar,NOT FOUND
Magadi Main Road,NOT FOUND
Magadi Road,NOT FOUND
Magrath Road,NOT FOUND
Mahatma Gandhi road,NOT FOUND
Mamulpet,NOT FOUND
Manjunatha Nagar,NOT FOUND
Marsur,NOT FOUND
Mavalli,Visvesvarapuram
MG Railway Colony,NOT FOUND
Millers Road,NOT FOUND
Minerva Circle,NOT FOUND
Mission Road,NOT FOUND
Museum Road,NOT FOUND
Nagarathpet,NOT FOUND
Narayan Pillai street,NOT FOUND
Narayana Pillai Street,NOT FOUND
Nrupathunga Road,NOT FOUND
Okalipuram,Okalipuram
P&t Col. kavalbyrasandra,NOT FOUND
Palace Road,NOT FOUND
Pasmpamahakavi Road,NOT FOUND
Prakash Nagar,Prakash Nagar
Promenade Road,NOT FOUND
Queens Road,NOT FOUND
Raj Bhavan Road,NOT FOUND
Raja Ram Mohan Roy Road,NOT FOUND
Rajbhavan,NOT FOUND
Ramachandrapuram,NOT FOUND
Residency Road,NOT FOUND
Rest House Road,NOT FOUND
Richmond Road,NOT FOUND
Richmond Town,NOT FOUND
S. R. Nagar,NOT FOUND
Samandur,NOT FOUND
Sampangiram Nagar,Sampangiram Nagar
Sampangiramnagar,NOT FOUND
Seppings Road,NOT FOUND
Seshadri Road,NOT FOUND
Shankarapuram,Sunkenahalli
Shankarpura,NOT FOUND
Shanthinagar,NOT FOUND
Shivaji Nagar,NOT FOUND
Shivajinagar,NOT FOUND
Sidihoskote,NOT FOUND
Sivan Chetty gardens,NOT FOUND
Srirampuram,Subhash Nagar
St. Johns Road,NOT FOUND
St. Marks Road,NOT FOUND
Subbarama Chetty Road,NOT FOUND
Subedar Chatram Rd,NOT FOUND
Subedar Chatram Road,NOT FOUND
Thammanayakanahalli,NOT FOUND
Thimmaiah Road,NOT FOUND
Ulsoor,NOT FOUND
Vanakanahalli,NOT FOUND
Vasanth Nagar,Vasanth Nagar
Vasanthnagar,NOT FOUND
Victoria Layout,Shanthala Nagar
Visveswarapuram,NOT FOUND
Vittal Mallya Road,NOT FOUND
Vittalnagar,NOT FOUND
Agrahara,Jakkur
Airport Road,NOT FOUND
Akshaya Nagar,Begur
Ali Asker Road,NOT FOUND
Amruthahalli,NOT FOUND
Baiyappanahalli,NOT FOUND
Ballandur,NOT FOUND
Bangalore Air port,NOT FOUND
Basavanagar,Vignana Nagar
Bellandur,NOT FOUND
Brookefield,NOT FOUND
Brookfield Road,NOT FOUND
Brookfields,NOT FOUND
C. V. Raman Nagar,NOT FOUND
C.V. Raman Nagar,NOT FOUND
C.V.raman nagar,NOT FOUND
Devanagundi,NOT FOUND
Devasandra,Devasandra
Doddanakundi,NOT FOUND
Doddanekkundi,NOT FOUND
Domlur,Dommalur
Domlur Layout,NOT FOUND
Dooravani Nagar,NOT FOUND
Doorvaninagar,NOT FOUND
Fraser Town,NOT FOUND
Frazer Town,Pulikeshi Nagar
Frazertown,NOT FOUND
Gangadhar Chetty Road,NOT FOUND
GR Tech Park,NOT FOUND
Gunjur,NOT FOUND
H.A.l ii stage,NOT FOUND
HAL Airport,HAL Airport
HAL Airport Road,NOT FOUND
HAL Road,NOT FOUND
Haralur Road,NOT FOUND
Harlur Road,NOT FOUND
Hoodi,NOT FOUND
HRBR Layout,NOT FOUND
Immedihalli,NOT FOUND
Indira Nagar,Dommalur
Indiranagar,NOT FOUND
Indiranagar Com. complex,NOT FOUND
ITPL Road,NOT FOUND
J C Nagar,NOT FOUND
J. C. Nagar,NOT FOUND
J.C. Nagar,NOT FOUND
J.C.nagar,NOT FOUND
Jayamahal Road,NOT FOUND
Jeevan Bheema Nagar,NOT FOUND
Jeevan Bhima Nagar,NOT FOUND
Jeevanbhima Nagar,Jeevanbhima Nagar
Jeevanbhimanagar,NOT FOUND
Kadugodi,Kadugudi
Kaggadasapura,NOT FOUND
Kaggalipura,NOT FOUND
Kaggdaspura,NOT FOUND
Kalkunte,NOT FOUND
Kannamangala,NOT FOUND
Kasavanahalli,Bellandur
Kasavanhalli,NOT FOUND
Kodihalli,Jeevanbhima Nagar
Koramangala,NOT FOUND
Koramangala I block,NOT FOUND
Koramangala Vi bk,NOT FOUND
KR Puram,NOT FOUND
Krishnaraja Puram,NOT FOUND
Krishnarajapuram,NOT FOUND
Krishnarajapuram R s,NOT FOUND
Kundalahalli,Doddanekkundi
M.H. Colony,NOT FOUND
Mahadevapura,A.Narayanapura
Mahadevapura Post,NOT FOUND
Mahadevpura Post,NOT FOUND
Malleshpalya,NOT FOUND
Marathahalli,NOT FOUND
Marathahalli Colony,NOT FOUND
Medimallasandra,NOT FOUND
Murugeshpalya,NOT FOUND
Muthusandra,NOT FOUND
Naduvathi,NOT FOUND
Nal,NOT FOUND
Old Airport Road,NOT FOUND
Old Madras Road,NOT FOUND
Panathur,NOT FOUND
Ramagondanahalli,Hagadooru
Ramamurthy Nagar,NOT FOUND
Rameshnagar,NOT FOUND
S M Road,NOT FOUND
S. V. Road,NOT FOUND
Samethanahalli,NOT FOUND
St. john's medical college,NOT FOUND
Thippasandra,NOT FOUND
Training Command iaf,NOT FOUND
Udaypura Post,NOT FOUND
Varthur,NOT FOUND
Vartur,NOT FOUND
Vibhutipura,NOT FOUND
Vimanapura,HAL Airport
Vimapura,NOT FOUND
Whitefield,NOT FOUND
Whitefield,NOT FOUND
Whitefield Sarjapur,NOT FOUND
Whitefield-Sarjapur,NOT FOUND
Yemalur,NOT FOUND
Allalasandra,NOT FOUND
Anandnagar,NOT FOUND
Arabic College,NOT FOUND
Aranya Bhavan,NOT FOUND
Attur,NOT FOUND
Bagalgunte,NOT FOUND
Bagalkunte,NOT FOUND
Bagalur Road,NOT FOUND
Banaswadi,NOT FOUND
Bel Road,NOT FOUND
Bellary Road,NOT FOUND
Bennigana Halli,NOT FOUND
Bhuvaneshwari Nagar,Uttarahalli
Bsf Campus yelahanka,NOT FOUND
Byappanahalli,NOT FOUND
Byatarayanapura,Gali Anjaneya Swamy Temple
Byatarayanapura,Gali Anjaneya Swamy Temple
Cholanayakkanahilli,NOT FOUND
Coles Road,NOT FOUND
Crpf Campus yelahanka,NOT FOUND
Damodaran Road,NOT FOUND
Dasarahalli,Thanisandra
Dasarahalli,Thanisandra
Devanahalli,NOT FOUND
Devarjeevanahalli,NOT FOUND
Dodda Bomasandra,NOT FOUND
Dollars Colony,NOT FOUND
